username,total_commits,total_additions,total_deletions,total_pull_requests,total_issues,first_contribution,last_contribution,contribution_span_days,avg_commits_per_day,label,avg_additions_per_commit,avg_deletions_per_commit,additions_deletions_ratio,code_changes,code_changes_per_commit
xslendix,2,2,2,2,2,2019-06-30 10:13:05,2019-06-30 10:14:58,1.0,2.0,1,1.0,1.0,0.6666666666666666,4,2.0
whert-dev,2,3,3,3,0,2020-03-25 23:55:33,2023-01-07 16:45:33,1017.0,0.0019665683382497543,0,1.5,1.5,0.75,6,3.0
notrealn,2,19,8,2,1,2021-07-20 13:00:19,2022-04-17 16:37:36,271.0,0.007380073800738007,0,9.5,4.0,2.111111111111111,27,13.5
nicknamewhat801,2,5,1,3,0,2024-08-23 22:14:17,2024-08-27 00:24:35,3.0,0.6666666666666666,0,2.5,0.5,2.5,6,3.0
totto0311,2,5,1,2,0,2024-01-03 21:57:51,2024-01-20 00:58:57,16.0,0.125,0,2.5,0.5,2.5,6,3.0
matheod,3,8,3,3,2,2019-11-01 18:05:47,2019-11-24 06:35:16,22.0,0.13636363636363635,0,2.6666666666666665,1.0,2.0,11,3.6666666666666665
martin-mfg,2,203,203,3,0,2020-01-23 23:57:24,2020-02-05 23:37:21,12.0,0.16666666666666666,0,101.5,101.5,0.9950980392156863,406,203.0
liuxilu,2,145,0,0,0,2021-02-21 14:20:36,2021-03-28 22:44:29,35.0,0.05714285714285714,0,72.5,0.0,145.0,145,72.5
liangliangsan,2,5,1,0,0,2024-03-09 22:57:52,2024-08-27 00:24:29,170.0,0.011764705882352941,0,2.5,0.5,2.5,6,3.0
itcannotbe,2,3,2,0,0,2021-01-19 19:37:40,2021-09-09 15:16:47,232.0,0.008620689655172414,0,1.5,1.0,1.0,5,2.5
ienov,2,5,1,0,0,2022-11-08 16:30:16,2023-04-22 01:32:46,164.0,0.012195121951219513,0,2.5,0.5,2.5,6,3.0
hhhi17,2,0,0,0,0,2022-08-31 04:56:08,2022-10-09 20:31:09,39.0,0.05128205128205128,0,0.0,0.0,0.0,0,0.0
grimsoul10,2,38,38,0,0,2020-08-01 23:41:23,2020-10-04 03:48:48,63.0,0.031746031746031744,0,19.0,19.0,0.9743589743589743,76,38.0
frieda666,2,41,13,0,0,2023-05-23 19:44:25,2023-06-04 03:45:55,11.0,0.18181818181818182,0,20.5,6.5,2.9285714285714284,54,27.0
east-6,2,103,89,0,0,2019-09-12 14:41:22,2019-09-16 00:33:34,3.0,0.6666666666666666,0,51.5,44.5,1.1444444444444444,192,96.0
eSK8er,2,5,1,0,0,2023-01-19 05:34:13,2023-10-24 04:59:15,277.0,0.007220216606498195,0,2.5,0.5,2.5,6,3.0
devlaq,2,5,1,0,0,2021-11-18 23:28:52,2022-01-12 15:00:46,54.0,0.037037037037037035,0,2.5,0.5,2.5,6,3.0
code-explorer786,2,4,2,0,0,2022-07-10 01:21:29,2023-04-06 22:16:04,270.0,0.007407407407407408,0,2.0,1.0,1.3333333333333333,6,3.0
camelStyleUser,2,3,2,6,0,2024-08-16 19:35:36,2024-08-21 07:27:57,4.0,0.5,0,1.5,1.0,1.0,5,2.5
bend-n,1,2,2,8,6,2023-06-06 00:08:26,2023-06-06 00:08:26,1.0,1.0,0,2.0,2.0,0.6666666666666666,4,4.0
HAJDog247,2,1254,8,3,0,2020-07-29 07:30:08,2020-08-02 23:51:22,4.0,0.5,0,627.0,4.0,139.33333333333334,1262,631.0
Tranamubeenarshad,2,340,0,0,0,2024-01-14 17:53:32,2024-05-25 02:16:35,131.0,0.015267175572519083,0,170.0,0.0,340.0,340,170.0
Gadgetroch,2,5,1,2,1,2023-12-11 12:46:37,2024-01-20 00:57:51,39.0,0.05128205128205128,0,2.5,0.5,2.5,6,3.0
FranLamark,2,674,674,2,1,2019-08-31 16:05:42,2020-01-11 03:16:06,132.0,0.015151515151515152,0,337.0,337.0,0.9985185185185185,1348,674.0
ErosAa2,2,5,3,2,0,2023-11-02 13:01:59,2023-11-04 13:12:21,2.0,1.0,0,2.5,1.5,1.25,8,4.0
Dyx175,2,2,2,3,0,2024-01-03 21:58:00,2024-04-26 14:15:39,113.0,0.017699115044247787,0,1.0,1.0,0.6666666666666666,4,2.0
Drullkus,2,5,1,0,0,2021-04-11 01:28:28,2021-04-15 13:27:02,4.0,0.5,0,2.5,0.5,2.5,6,3.0
